version_uri	date	century	author_lat	title_lat	tok_length	millionaire
0434AnonymousDruze.RasailHikma.eScr20102915-ara1	434	5	Anonymous Druze	Rasail Hikma	56477	FALSE
0363QadiNucman.IkhtilafUsulMadhahib.eScr20110913-ara1	363	4	Qadi Nucman	Ikhtilaf Usul Madhahib	42132	FALSE
0595Daylami.SharhAnfasRuhaniyya.eScr20112317-ara1	595	6	Daylami	Sharh Anfas Ruhaniyya	38428	FALSE
0709IbnCataAllahSikandari.TanwirFiIsqatTadbir.eScr20112411-ara1	709	8	Ibn Cata Allah Sikandari	Tanwir Fi Isqat Tadbir	42054	FALSE
0696IbrahimDasuqi.JawharaMudia.eScr20112522-ara1	696	7	Ibrahim Dasuqi	Jawhara Mudia	92974	FALSE
0845AbuHafsSamarqandi.NaylHathith.eScr20112614-ara1	845	9	Abu Hafs Samarqandi	Nayl Hathith	45448	FALSE
0850ShihabDinIbshihi.TadhkiratCarifin.eScr20120309-ara1	850	9	Shihab Din Ibshihi	Tadhkirat Carifin	78895	FALSE
0502RaghibIsbahani.AdabIkhtilatNas.eScr20120414-ara1	502	6	Raghib Isbahani	Adab Ikhtilat Nas	39116	FALSE
0298Junayd.SirrFiAnfasSufiyya.eScr20120512-ara1	298	3	Junayd	Sirr Fi Anfas Sufiyya	21240	FALSE
0561CabdQadirJilani.AdabSuluk.eScr20120913-ara1	561	6	Cabd Qadir Jilani	Adab Suluk	26679	FALSE
0899ZarruqShihabDinFasi.UrjuzaCuyubNafs.eScr21011310-ara1	899	9	Zarruq Shihab Din Fasi	Urjuza Cuyub Nafs	6060	FALSE
0973IbnHajarHaythami.TathirCayba.eScr21011311-ara1	973	10	Ibn Hajar Haythami	Tathir Cayba	5061	FALSE
0339AbuNasrFarabi.AraAhlMadina.EShia0010461-ara1	339	4	Abu Nasr Farabi	Ara Ahl Madina	28669	FALSE
0363QadiNucman.Idah.EShia0027411-ara1	363	4	Qadi Nucman	Idah	56266	FALSE
0363QadiNucman.TawilDacaim.EShia0071536-ara1	363	4	Qadi Nucman	Tawil Dacaim	237105	FALSE
0363QadiNucman.ManaqibWaMathalib.EShia0086596-ara1	363	4	Qadi Nucman	Manaqib Wa Mathalib	91954	FALSE
0468IbnBassal.QasdWaBayan.Filaha001-ara1	468	5	Ibn Bassal	Qasd Wa Bayan	35178	FALSE
0370CaribQurtubi.TartibAnwa.Filaha002-ara1	370	4	Carib Qurtubi	Kitāb fī tartīb al-Anwā' :: Kitāb fī tafṣīl al-azmān wa-maṣāliḥ al-abdān	6795	FALSE
1127KhayrDinIbnIlyas.FalahFallah.Filaha003-ara1	1127	12	Khayr Din Ibn Ilyas :: Ḫayr al-Dīn Ibn Ilyas :: Ḫayr al-Dīn   b. Tāj al-Dīn Ilyās	Kitāb al-falāḥ al-fallāḥ ::	37549	FALSE
1160YusufMahalli.Taqwim.Filaha004-ara1	1160	12	Yusuf Mahalli :: Yūsuf al-Maḥallī ::   Yūsuf b. Yūsuf al-Maḥallī, al-Šāfiʿī, al-Ašʿarī, al-Kalārjī	Kitāb al-Taqwīm ::	1384	FALSE
0325Anonymous.MaqalatAfrudisiFiNushu.GRAR000001-ara1	325	4	Anonymous	Maqālaŧ al-Iskandar al-Afrūdīsī fī anna al-nušūʾ wa-¶    al-namāʾ fī al-ṣūra lā fī al-hayūlā ::	349	FALSE
0305AbuCuthmanDimashqi.MaqalatAfrudisiFiLawn.GRAR000002-ara1	305	4	Abu Cuthman Dimashqi :: Abū ʿUṯmān al-Dimašqī ::  Abū ʿUṯmān Saʿīd b. Yaʿqūb al-Dimašqī	Maqālaŧ al-Iskandar al-Afrūdīsī fī al-lawn ::	1032	FALSE
0305AbuCuthmanDimashqi.MaqalatAfrudisiFiIstitaca.GRAR000003-ara1	305	4	Abu Cuthman Dimashqi :: Abū ʿUṯmān al-Dimašqī ::  Abū ʿUṯmān Saʿīd b. Yaʿqūb al-Dimašqī	Maqālaŧ al-Iskandar al-Afrūdīsī fī al-istiṭāʿaŧ ::	1417	FALSE
0328AbuBishrIbnYunus.MaqalatAfrudisiFiCinaya.GRAR000004-ara1	328	4	Abu Bishr Ibn Yunus :: Abū Bišr Mattá b. Yūnus ::  Abū Bišr Mattá b. Yūnus al-Qunnāʾī	Maqālaŧ al-Iskandar al-Afrūdīsī fī al-ʿināyaŧ ::	7640	FALSE
0325Anonymous.MaqalatAfrudisiFiHiss.GRAR000005-ara1	325	4	Anonymous	Maqālaŧ al-Iskandar al-Afrūdīsī fī al-ḥiss ::	1886	FALSE
0325Anonymous.MaqalatAfrudisiFiAshyaCammiyya.GRAR000006-ara1	325	4	Anonymous	Maqālaŧ al-Iskandar al-Afrūdīsī fī al-ašyāʾ al-¶    ʿāmmiyya al-kulliyya ::	408	FALSE
0305AbuCuthmanDimashqi.MaqalatAfrudisiFiAshyaCammiyya.GRAR000008-ara1	305	4	Abu Cuthman Dimashqi :: Abū ʿUṯmān al-Dimašqī ::  Abū ʿUṯmān Saʿīd b. Yaʿqūb al-Dimašqī	Maqālaŧ al-Iskandar al-Afrūdīsī fī al-ašyāʾ al-¶    ʿāmmiyya al-kulliyya ::	486	FALSE
0298IshaqIbnHunayn.MaqalatAfrudisiFiIbsar.GRAR000009-ara1	298	3	Ishaq Ibn Hunayn :: Isḥāq b. Ḥunayn ::   Isḥāq b. Ḥunayn b. Isḥāq	Maqālaŧ al-Iskandar al-Afrūdīsī fī kayfa yakūn al-¶    ibṣār ::	1966	FALSE
0298IshaqIbnHunayn.MaqalatAfrudisiFiCaql.GRAR000010-ara1	298	3	Ishaq Ibn Hunayn :: Isḥāq b. Ḥunayn ::   Isḥāq b. Ḥunayn b. Isḥāq	Maqālaŧ al-Iskandar al-Afrūdīsī fī al-ʿaql ::	2727	FALSE
0288ThabitIbnQurra.AbluniyusFiMakhrutat.GRAR000011-ara1	288	3	Thabit Ibn Qurra :: Ṯābit ibn Qurraŧ ::   Ṯābit b. Qurraŧ	Kitāb Ablūniyūs fī al-Maḫrūṭāt ::	3021	FALSE
0298IshaqIbnHunayn.AristuFiCibara.GRAR000012-ara1	298	3	Ishaq Ibn Hunayn :: Isḥāq b. Ḥunayn ::   Isḥāq b. Ḥunayn b. Isḥāq	Kitāb Arisṭū fī al-ʿibāraŧ ::	7665	FALSE
0328AbuBishrIbnYunus.BurhanLiAristutalis.GRAR000013-ara1	328	4	Abu Bishr Ibn Yunus :: Abū Bišr Mattá b. Yūnus ::  Abū Bišr Mattá b. Yūnus al-Qunnāʾī	Kitāb Anūlūṭīqā al-awāḫir wa-huwa al-maʿrūf bi Kitāb¶    al-Burhān li-Arisṭūṭālis ::	27377	FALSE
0275ThayadurusIbnBasil.AnulutiqaUla.GRAR000014-ara1	275	3	Thayadurus Ibn Basil :: Ṯayādūrus Ibn Basīl ::   Ṯayādūrus, Ṯadārä b. Basīl aḫ Iṣṭifan	Anūlūṭīqā al-ūlā ::	38069	FALSE
0328AbuBishrIbnYunus.KitabAristutalisFiShicr.GRAR000016-ara1	328	4	Abu Bishr Ibn Yunus :: Abū Bišr Mattá b. Yūnus ::  Abū Bišr Mattá b. Yūnus al-Qunnāʾī	Kitāb Arisṭūṭalis fī al-šiʿr ::	11683	FALSE
1420ShukriCayyad.KitabAristutalisFiShicr.GRAR000017-ara1	1420	15	Shukri Cayyad	Kitāb Arisṭūṭalis fī al-šiʿr ::	10412	FALSE
0350Anonymous.AristutalisFiNafs.GRAR000020-ara1	350	4	Anonymous	Kitāb Arisṭūṭālīs fī al-nafs ::	21166	FALSE
0275Ustath.TibacHayawanLiAristutalis.GRAR000021-ara1	275	3	Ustath :: Usṭāṯ (Eustathius) ::   Usṭāṯ	Kitāb Arisṭūṭālīs  fī maʿrifat ṭibāʿ al-Ḥayāwān ::	89506	FALSE
0298IshaqIbnHunayn.MaqulatLiAristutalis.GRAR000022-ara1	298	3	Ishaq Ibn Hunayn :: Isḥāq b. Ḥunayn ::   Isḥāq b. Ḥunayn b. Isḥāq	Kitāb al-Maqūlāt :: Qāṭīġūriyā	10535	FALSE
0364YahyaIbnCadi.SufistiqaLiAristutalis.GRAR000026-ara1	364	4	Yahya Ibn Cadi :: Abū Zakariyā Yaḥyá b. ʿAdī ::  Abū Zakariyā Yaḥyá b. ʿAdī	Sūfisṭīqā li-Arisṭūṭālīs ::	15139	FALSE
0398IbnZurca.SufistiqaLiAristutalis.GRAR000027-ara1	398	4	Ibn Zurca :: Ibn Zurʿa ::  Abū ʿAlī ʿĪsá b. Isḥāq b. Zurʿaŧ	Sūfisṭīqā li-Arisṭūṭālīs ::	16433	FALSE
0250CabdMasihNacimi.SufistiqaLiAristutalis.GRAR000028-ara1	250	3	Cabd Masih Nacimi :: ʿAbd al-Masīḥ al-Nāʿimī ::   ʿAbd al-Masīḥ b. ʿAbd Allāh al-Ḥimsī al-Nāʿimī	Sūfisṭīqā li-Arisṭūṭālīs ::	15240	FALSE
0305AbuCuthmanDimashqi.TupiqaLiAristutalis.GRAR000029-ara1	305	4	Abu Cuthman Dimashqi :: Abū ʿUṯmān al-Dimašqī ::  Abū ʿUṯmān Saʿīd b. Yaʿqūb al-Dimašqī	Ṭūpīqā li-Arisṭūṭālīs ::	50446	FALSE
0453CaliIbnRidwan.TacaliqLiTafsirJalinus.GRAR000031-ara1	453	5	Cali Ibn Ridwan :: Ibn Riḍwān ::   ʿAlī b. Riḍwān	Taʿālīq ʿAlī b. Riḍwān li-Fawā'id min Kitāb¶    Qāṭīṭriyūn tafsīr Jālīnūs ::	3028	FALSE
0595IbnRushdHafid.TalkhisShicrLiAristutalis.GRAR000032-ara1	595	6	Ibn Rushd Hafid	Kitāb al-šiʿr :: Talḫīṣ mā fī Kitāb Arisṭūṭālīs fī al-šiʿr	11062	FALSE
0595IbnRushdHafid.TalkhisHassLiAristu.GRAR000033-ara1	595	6	Ibn Rushd Hafid	Talḫīṣ Kitāb al-Ḥāss wa-al-maḥsūs li-Arisṭū ::	13460	FALSE
0428IbnSina.Shifa.GRAR000035-ara1	428	5	Ibn Sina	Kitāb al-šifāʾ ::	8898	FALSE
0421HasanIbnSuwar.TacliqatLiIsaghughiFurfuriyus.GRAR000036-ara1	421	5	Hasan Ibn Suwar :: Ibn Suwār ::  Abū al-Ḫayr al-Ḥasan b. Suwār b. Bābā b. al-Ḫammār	Taʿlīqāt Ibn Suwār li-Isāġūġī Furfuriyūs al-Ṣūrī ::	3890	FALSE
0339AbuNasrFarabi.QawaninShicr.GRAR000037-ara1	339	4	Abu Nasr Farabi	Risālaŧ fī qawānīn al-šiʿr :: Maqālaŧ fī qawānīn ṣināʿaŧ al-šuʿarāʾ li-al-muʿallim¶    al-ṯānī	1739	FALSE
0259HunaynIbnIshaq.SinacaSaghiraLiJalinus.GRAR000038-ara1	259	3	Hunayn Ibn Ishaq :: Ḥunayn b. Isḥāq ::   Ḥunayn b. Isḥāq al-ʿIbādī	al-Ṣināʿaŧ al-ṣaġīraŧ li-Jālīnūs ::	18490	FALSE
0298IshaqIbnHunayn.MaqalatJalinusFiAjzaTibb.GRAR000039-ara1	298	3	Ishaq Ibn Hunayn :: Isḥāq b. Ḥunayn ::   Isḥāq b. Ḥunayn b. Isḥāq	Maqālaŧ Jālīnūs fī ajzāʾ al-ṭibb ::	4298	FALSE
0300CisaIbnYahya.JalinusFiIkhtilafAcda.GRAR000040-ara1	300	4	Cisa Ibn Yahya :: ʿĪsá b. Yaḥyá ::   ʿĪsá b. Yaḥyá b. Ibrāhīm	Kitāb Jālīnūs fī iḫtilāf al-aʿḍāʾ al-mutašābahaŧ al-¶    ajzāʾ ::	3805	FALSE
0259HunaynIbnIshaq.JalinusFiUstuqussat.GRAR000041-ara1	259	3	Hunayn Ibn Ishaq :: Ḥunayn b. Isḥāq ::   Ḥunayn b. Isḥāq al-ʿIbādī	Kitāb Jālīnūs fī usṭuqussāt ʿalá raʾy Abūqrāṭ ::	15482	FALSE
0259HunaynIbnIshaq.JalinusFiNabd.GRAR000042-ara1	259	3	Hunayn Ibn Ishaq :: Ḥunayn b. Isḥāq ::   Ḥunayn b. Isḥāq al-ʿIbādī	Kitāb Jālīnūs fī al-nabḍ ::	6954	FALSE
0259HunaynIbnIshaq.JalinusFiTabibFaylusuf.GRAR000043-ara1	259	3	Hunayn Ibn Ishaq :: Ḥunayn b. Isḥāq ::   Ḥunayn b. Isḥāq al-ʿIbādī	Maqālaŧ Jālīnūs fī annahu yajibu an yakūna al-ṭabīb¶    al-fāḍil faylusūfan ::	1653	FALSE
0300HubayshIbnHasan.JalinusFiQuwaNafs.GRAR000044-ara1	300	4	Hubaysh Ibn Hasan :: Ḥubayš b. al-Ḥasan ::  Abū al-Ḫayr Ḥubayš b. al-Ḥasan b. al-Aʿsam al-Dimašqī	Kitāb Jālīnūs fī anna quwá al-nafs tābiʿaŧ li-mizāj¶    al-badan ::	8582	FALSE
0300HubayshIbnHasan.JalinusFiCamalTashrih.GRAR000046-ara1	300	4	Hubaysh Ibn Hasan :: Ḥubayš b. al-Ḥasan ::  Abū al-Ḫayr Ḥubayš b. al-Ḥasan b. al-Aʿsam al-Dimašqī	Kitāb Jālīnūs fī ʿamal al-tašrīḥ ::	72262	FALSE
0259HunaynIbnIshaq.JalinusFiAsbabMasika.GRAR000047-ara1	259	3	Hunayn Ibn Ishaq :: Ḥunayn b. Isḥāq ::   Ḥunayn b. Isḥāq al-ʿIbādī	Kitāb Jālīnūs fī al-asbāb al-mākisaŧ ::	3560	FALSE
0300HubayshIbnHasan.JalinusFiAsmaTibbiyya.GRAR000048-ara1	300	4	Hubaysh Ibn Hasan :: Ḥubayš b. al-Ḥasan ::  Abū al-Ḫayr Ḥubayš b. al-Ḥasan b. al-Aʿsam al-Dimašqī	Kitāb Jālīnūs fī al-asmāʾ al-ṭibbiyyaŧ ::	11605	FALSE
0300HubayshIbnHasan.JalinusFiMudawatKasr.GRAR000049-ara1	300	4	Hubaysh Ibn Hasan :: Ḥubayš b. al-Ḥasan ::  Abū al-Ḫayr Ḥubayš b. al-Ḥasan b. al-Aʿsam al-Dimašqī	al-ʿĀdil al-muftariḍ fī mudāwāŧ al-kasr ::	15670	FALSE
0200YahyaIbnBitriq.FusulAbuqrat.GRAR000050-ara1	200	3	Yahya Ibn Bitriq :: Yaḥyá b. al-Biṭrīq ::   Yaḥyá b. al-Biṭrīq	Kitāb al-Fuṣūl li-Abuqrāṭ al-latī tusammá al-taʿlīmāt ::	1748	FALSE
0300HubayshIbnHasan.CahdAbuqrat.GRAR000051-ara1	300	4	Hubaysh Ibn Hasan :: Ḥubayš b. al-Ḥasan ::  Abū al-Ḫayr Ḥubayš b. al-Ḥasan b. al-Aʿsam al-Dimašqī	ʿAhd Abuqrāṭ ::	266	FALSE
0259HunaynIbnIshaq.FusulAbuqrat.GRAR000052-ara1	259	3	Hunayn Ibn Ishaq :: Ḥunayn b. Isḥāq ::   Ḥunayn b. Isḥāq al-ʿIbādī	Kitāb al-Fuṣūl li-Abuqrāṭ ::	8564	FALSE
0259HunaynIbnIshaq.TaqdimatMacrifaLiAbuqrat.GRAR000053-ara1	259	3	Hunayn Ibn Ishaq :: Ḥunayn b. Isḥāq ::   Ḥunayn b. Isḥāq al-ʿIbādī	Kitāb Taqdimaŧ al-maʿrifaŧ li-Abuqrāṭ ::	5444	FALSE
0259HunaynIbnIshaq.RisalaFiMaTurjima.GRAR000054-ara1	259	3	Hunayn Ibn Ishaq :: Ḥunayn b. Isḥāq ::   Ḥunayn b. Isḥāq al-ʿIbādī	Risālaŧ Ḥunayn ibn Isḥāq ilā ʿAlī b. Yaḥyā fī ḏikr mā¶    turjima min kutub Jālīnūs bi-ʿilmihi wa-baʿḍ mā lam yutarjam ::	11367	FALSE
0300QustaIbnLuqa.IbsiqlausFiMatalic.GRAR000055-ara1	300	4	Qusta Ibn Luqa :: Qusṭā b. Lūqā ::   Qusṭā b. Lūqā al-Baʿlabakkī	Kitāb Fulūṭārḫus fī al-arāʾ al-ṭabīʿiyyaŧ al-latī¶    taqūl bihā al-ḥukamāʾ ::	1966	FALSE
0310AbuCabbasNayrizi.SharhUsulLiUqlidis.GRAR000056-ara1	310	4	Abu Cabbas Nayrizi :: Abū al-ʿAbbās al-Nayrīzī ::  Abū al-ʿAbbās al-Faḍl b. Ḥātim al-Nayrīzī	Šarḥ Kitāb al-uṣūl li-Ūqlīdis ::	21070	FALSE
0298IshaqIbnHunayn.TafsirNiqulawusFiNabat.GRAR000059-ara1	298	3	Ishaq Ibn Hunayn :: Isḥāq b. Ḥunayn ::   Isḥāq b. Ḥunayn b. Isḥāq	Kitāb Arisṭūṭālīs fī al-nabāt tafsīr Nīqūlāwus ::	8530	FALSE
0288ThabitIbnQurra.MadkhalLiNiqumakhus.GRAR000060-ara1	288	3	Thabit Ibn Qurra :: Ṯābit ibn Qurraŧ ::   Ṯābit b. Qurraŧ	Kitāb Madḫal ilá ʿilm al-ʿadad al-laḏī waḍaʿahu¶    Nīqūmāḫus al-Jārāsīnī min šīʿaŧ Fīṯāġūras ::	29295	FALSE
0275AnonTranslator.HayatFithaghuras.GRAR000061-ara1	275	3	Anon Translator :: (mutarjim majhūl) ::	Ḥayāŧ Fīṯāġūras ::	1134	FALSE
0305AbuCuthmanDimashqi.MadkhalFurfuriyus.GRAR000062-ara1	305	4	Abu Cuthman Dimashqi :: Abū ʿUṯmān al-Dimašqī ::  Abū ʿUṯmān Saʿīd b. Yaʿqūb al-Dimašqī	Madḫal Furfuriyūs al-Ṣūrī tilmīḏ Aflūṭīn ::	5248	FALSE
0298IshaqIbnHunayn.BuruqlisFiQidamCalam.GRAR000064-ara1	298	3	Ishaq Ibn Hunayn :: Isḥāq b. Ḥunayn ::   Isḥāq b. Ḥunayn b. Isḥāq	Hujaj Buruqlis fī qidam al-ʿālam ::	2561	FALSE
0298IshaqIbnHunayn.MasailFuruqlis.GRAR000065-ara1	298	3	Ishaq Ibn Hunayn :: Isḥāq b. Ḥunayn ::   Isḥāq b. Ḥunayn b. Isḥāq	Masāʾil Furuqlīs fī al-ašyāʾ al-ṭabīʿiyyaŧ ::	1584	FALSE
0200YahyaIbnBitriq.Thulujiya.GRAR000066-ara1	200	3	Yahya Ibn Bitriq :: Yaḥyá b. al-Biṭrīq ::   Yaḥyá b. al-Biṭrīq	Mā istaḫrajahu al-Iskandar al-Afrūdīsī min Kitāb¶    Arisṭūṭālīs¶    al-musammá Ṯūlūjiyā wa-maʿnāhu al-kalām fī al-rubūbiyyaŧ :: Qawl istaḫrajahu al-Iskandar min Kitāb Ṯālūjiyā ayy¶    al-rubūbiyyaŧ	4638	FALSE
0225MuallifMajhul.IdahLiAristutalisFiKhayrMahd.GRAR000067-ara1	225	3	Muallif Majhul :: (muʾallif majhūl) ::	Īḍāḥ li-Arisṭūṭālīs fī al-ḫayr al-maḥḍ ::	5795	FALSE
0350Anonymous.AristutalisFiRuya.GRAR000068-ara1	350	4	Anonymous	Maqālaŧ min kalām al-muʿallim al-awwal Arisṭūṭālīs fī¶    al-ruʾyā ::	347	FALSE
0298IshaqIbnHunayn.WasiyyatAristalis.GRAR000069-ara1	298	3	Ishaq Ibn Hunayn :: Isḥāq b. Ḥunayn ::   Isḥāq b. Ḥunayn b. Isḥāq	Waṣiyyaŧ Arisṭālīs ::	402	FALSE
0259HunaynIbnIshaq.JalinusFiTadbirAmradHadda.GRAR000070-ara1	259	3	Hunayn Ibn Ishaq :: Ḥunayn b. Isḥāq ::   Ḥunayn b. Isḥāq al-ʿIbādī	Kitāb Jālīnūs fī tadbīr al-amrāḍ al-ḥādda ʿalá raʾy¶    Buqrāṭ ::	5049	FALSE
0300AnonTranslator.MucadhalatNafsLiAflatun.GRAR000071-ara1	300	4	Anon Translator :: (mutarjim majhūl) ::	Kitāb Muʿādalaŧ al-nafs li-Aflāṭūn ::	11275	FALSE
0275IstifanIbnBasil.AqwalMinandar.GRAR000072-ara1	275	3	Istifan Ibn Basil :: Iṣṭifan ibn Basīl ::   Iṣṭifan b. Basīl	[Aqwāl Mīnāndar] ::	2257	FALSE
0400AnonTranslator.GhrighuriyusFiFadila.GRAR000073-ara1	400	5	Anon Translator :: (mutarjim majhūl) ::	Min qawl al-qiddīs Ġrīġūriyus al-Ṯālūġus usquf¶    Nāziyanzū fī al-faḍīlaŧ ʿalá ḥurūf alfā fīṭā ilā kamālihā, aʿnī¶    asmāʾ¶    ḥurūf al-Yūnāniyyīn ::	626	FALSE
0450AnonymousTranslator.ArbacWaCishrunKalimaLiGhrighuriyus.GRAR000074-ara1	450	5	Anonymous Translator	al-Arbaʿ wa-al-ʿišrūn kalimaŧ li-al-qiddīs Ġrīġūriyus¶    Nīṣaṣ aḫī mārī Bāsīliyūs al-kabīr naẓmuhu ʿalá ʿadad ḥurūf alfā bīṭā¶    bi-¶    al-Yūnāniyyaŧ :: Ġrīġūriyus al-mutakallim ʿalá al-lāhūt	152	FALSE
0288ThabitIbnQurra.RawabicLiAflatun.GRAR000075-ara1	288	3	Thabit Ibn Qurra :: Ṯābit ibn Qurraŧ ::   Ṯābit b. Qurraŧ	Kitāb al-Rawābīʿ li-Aflāṭūn ::	30233	FALSE
0300QustaIbnLuqa.FulutarkhusFiAraTabiciyya.GRAR000077-ara1	300	4	Qusta Ibn Luqa :: Qusṭā b. Lūqā ::   Qusṭā b. Lūqā al-Baʿlabakkī	Kitāb Fulūṭārḫus fī al-arāʾ al-ṭabīʿiyyaŧ al-latī¶    taqūl bihā al-ḥukamāʾ ::	18472	FALSE
0300IshaqRuhawi.AdabTabib.GRAR000078-ara1	300	4	Ishaq Ruhawi :: Isḥāq b. ʿAlī al-Ruhāwī ::   Isḥāq b. ʿAlī al-Ruhāwī	Kitāb Adab al-Ṭabīb ::	52673	FALSE
0300CisaIbnYahya.JalinusFiTimaus.GRAR000079-ara1	300	4	Cisa Ibn Yahya :: ʿĪsá b. Yaḥyá ::   ʿĪsá b. Yaḥyá b. Ibrāhīm	[Jālīnūs fī kitāb Aflāṭūn al-musammá Ṭīmāwus] ::	6242	FALSE
0259HunaynIbnIshaq.JalinusFiCamalTashrih.GRAR000080-ara1	259	3	Hunayn Ibn Ishaq :: Ḥunayn b. Isḥāq ::   Ḥunayn b. Isḥāq al-ʿIbādī	Kitāb Jālīnūs fī ʿamal al-tašrīḥ ::	43199	FALSE
0300HubayshIbnHasan.JalinusFiCadat.GRAR000082-ara1	300	4	Hubaysh Ibn Hasan :: Ḥubayš b. al-Ḥasan ::  Abū al-Ḫayr Ḥubayš b. al-Ḥasan b. al-Aʿsam al-Dimašqī	Maqālaŧ Jālīnūs fī al-ʿādāt ::	4836	FALSE
0259HunaynIbnIshaq.JalinusFiMihnatAfdalAtibba.GRAR000083-ara1	259	3	Hunayn Ibn Ishaq :: Ḥunayn b. Isḥāq ::   Ḥunayn b. Isḥāq al-ʿIbādī	Kitāb Jālīnūs miḥnaŧ afḍal al-aṭibbāʾ :: Kitāb Jālīnūs fī al-miḥnaŧ al-latī yuʿraf bihā afḍal¶    al-aṭibbāʾ	11825	FALSE
0259HunaynIbnIshaq.JalinusFiMawludLiSabcatAshhur.GRAR000084-ara1	259	3	Hunayn Ibn Ishaq :: Ḥunayn b. Isḥāq ::   Ḥunayn b. Isḥāq al-ʿIbādī	Maqālaŧ Jālīnūs fī al-mawlūd li-sabʿaŧ ašhur ::	2874	FALSE
0259HunaynIbnIshaq.SharhJalinusLiIfidhimiya.GRAR000086-ara1	259	3	Hunayn Ibn Ishaq :: Ḥunayn b. Isḥāq ::   Ḥunayn b. Isḥāq al-ʿIbādī	Šarḥ Jālīnūs li kitāb Abuqrāṭ al-musammá Ifīḏīmiyā ::	85537	FALSE
